ORD; AÑO ; MES ; DÍA ; DIA DE LA SEMANA ;HORA; ETAPA DEL DÍA ; ZONA ; BLOQUE ; CAMPO ; LOCACIÓN ; INSTALACIÓN O ÁREA ; LON ; LAT ; FUENTES GENERADORAS DE RIESGO ; TIPO ;CONSECUENCIA;OBJETOS;CANTIDAD;UNIDAD;MONTO;SEVERIDAD / IMPACTO;"DEPARTAMENTO
CUSTODIO DEL BIEN";NÚMERO DE INFORME DE VERIFICACIÓN;INFORME DEL ÁREA USUARIA?;NUMERO DE DENUNCIA O ACTO URGENTE;ESTADO DEL PROCESO;PROCESADOS;;LOCACIÓN TIENE SERVICIO DE VIGILANCIA FIJA?;LOCACIÓN TIENE CÁMARA DE VIDEO SEGURIDAD?;LOCACIÓN TIENE CERRAMIENTO?;LOCACIÓN TIENE ILUMINACIÓN?;LA CONTRATISTA REPONE EL VALOR DE LA PÉRDIDA?;SEGURO DE PETROAMAZONAS REPONE EL VALOR DE LA PÉRDIDA?;EXISTIÓ RECOMENDACIÓN DE SEGURIDAD QUE PUDO EVITAR EL EVENTO?;RECOMENDACIONES PARA DISMINUIR EL RIESGO DE REPETICIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;AÑO;MES;DIA;DIA DE LA SEMANA;HORA;ETAPA;ZONA;BLOQUE;Campo;LOCACIÓN;FUENTE;TIPO;CONSECUENCIA;;UNIDAD;SEVERIDAD;DEPARTAMENTO;INFORME DE ÁREA USUARIA;ESTADO DEL PROCESO;;SENTENCIADOS;;;;;;;;;;;;;;;;;;;;
187;2024;ENE;8;LUNES;8:00 PM;NOCHE;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - SHS 76;ÁREA DE EQUIPOS DE SUPERFICIE; 985.594,63 ; 9.988.720,46 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;DAÑO DE TRANSFORMADOR;;;;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Realizar el arreglo de la abertura en la malla de las facilidades para la protección de los equipos de superficie.  
Colocar cadena y candado en las puertas de los equipos de superficie.
Colocar refuerzos en los transformadores, puntos de suelda.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-11 A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;2024;ENE;16;LUNES;10:00 AM;MAÑANA;ZOCE;B57 - SHS;SUR;B57 - SHS - WELL PAD SHSA 02;ÁREA DE QUÍMICOS; 985.357,92 ; 9.972.698,28 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;BOMBAS DE QUÍMICOS;4;EA; $6.048,59 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTES 02;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;SI;SI;Presentar la denuncia respectiva al área legal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;2024;ENE;17;MIERCOLES;9:00 PM;NOCHE;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSJ 71;ÁREA DE QUÍMICOS; 985.587,36 ; 9.987.634,33 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;BOMBAS DE QUÍMICOS;2;EA; $6.542,92 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTES 03;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Realizar el arreglo de la aldaba. 
Colocación de luminarias en las áreas sensibles.
Colocar la barrera de protección perimetral de la plataforma 
Colocar malla electro-soldada entre la cubierta y los lados de la caseta del área de químicos, para mejorar la seguridad.
 Colocar candados en las puertas del área de los equipos de superficie.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;2024;ENE;19;VIERNES;9:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 91;ÁREA DE EQUIPOS DE SUPERFICIE; 748.279,88 ; 1.416.546,68 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;196;PIES (FT.); $10.250,44 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTES 04;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Colocación de luminarias en las áreas sensibles.
Colocar la barrera de protección perimetral en la plataforma
Colocar candado en la puerta del área de los equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;2024;FEB;14;MIERCOLES;9:00 PM;NOCHE;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSS 52;ÁREA DEL CABEZAL HACIA LA CAJA DE REVISIÓN; 986.622,56 ; 9.987.792,82 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN DE ACTIVOS;CABLES;;;;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);;NO;;ABIERTO;;NO;NO;NO;NO;NO;NO;N/A;SI;"Colocar luminarias en las áreas sensibles.
Colocar la barrera de protección perimetral en la plataforma Colocar candado en la puerta del área de los equipos de superficie (las que faltan).  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;2024;FEB;16;VIERNES;10:00 PM;NOCHE;ZOCE;B57 - SHS;SUROESTE;B57 - SHS - GENERACIÓN SUROESTE;ÁREA DE EQUIPOS DE SUPERFICIE; 315.868,58 ; 9.969.629,62 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN DE ACTIVOS;CABLES;985;PIES (FT.); $20.564,31 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;MANTENIMIENTO (MNT);INCIDENTES 06;SI;;ABIERTO;;NO;NO;NO;SI;NO;NO;N/A;SI;"Evacuar el material y equipos que esta fuera de operación 
Presentar la denuncia respectiva al área legal ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;2024;FEB;20;MARTES;8:00 AM;MAÑANA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSJ 71;PLATAFORMA; 988.346,98 ; 9.988.128,00 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN DE ACTIVOS;ACTIVOS VARIOS;1;EA; $298,26 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;MANTENIMIENTO (MNT);INCIDENTES 08;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Recuperar el material y equipos de las plataformas que no se encuentran en producción.
Presentar la denuncia respectiva al área legal ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;2024;FEB;20;MARTES;9:00 AM;MAÑANA;ZOCE;B57 - SHS;DRAGO;B57 - SHS - DRRC;AREA DE EQUIPOS DE SUPERFICIE Y CAJA DE VENTEO; 975.457,83 ; 9.982.118,19 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN DE ACTIVOS;CABLES;19;PIES (FT.); $410,97 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;MANTENIMIENTO (MNT);INCIDENTES 07;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;SI;SI;"Recuperar el material y equipos que ya no están operando (Equipos de superficie y cables de pozos apagados).
Cerrar con malla o estructura de cemento, los espacios existentes entre el suelo y el soporte horizontal inferior de la barrera de protección perimetral en la parte posterior de la plataforma.
Presentar la denuncia respectiva al área legal ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;2024;MAR;7;MIERCOLES;3:00 AM;MAÑANA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSJ-146;AREA DE EQUIPOS DE SUPERFICIE DESDE TRANSFORMADR AL VARIADOR; 985.600,31 ; 9.987.659,51 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN DE ACTIVOS;CABLES;86;PIES (FT.); $ 49.561.20 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;LEVANTAMIENTO ARTIFICIAL ;INCIDENTES 09;SI;;ABIERTO;;NO;NO;SI;SI;NO;NO;SI;SI;"Colocar luminarias en las áreas sensibles.
Colocar la barrera de protección perimetral en la plataforma
Colocar las bases para los picaportes que van en la base del piso, de las 02 puertas.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;2024;MAR;23;SABADO;12:00 AM;MADRUGADA;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 91;ÁREA DE EQUIPOS DE SUPERFICIE; 985.094,51 ; 9.975.170,90 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;;;;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);;NO;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;Pendiente el informe por parte del área usuaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;2024;MAR;24;DOMINGO;11:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 97;ÁREA DE EQUIPOS DE SUPERFICIE; 983.153,10 ; 9.973.283,26 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;;;;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);;SI;;ABIERTO;;N0;NO;NO;NO;NO;NO;SI;SI;Pendiente el informe por parte del área usuaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;2024;MAR;24;DOMINGO;1:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - SHSAA-204;ÁREA DE EQUIPOS DE SUPERFICIE; 983.535,35 ; 9.982.913,74 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;192;PIES (FT.); $3.160.02 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTES 11;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Realizar el arreglo de la abertura en la malla de las facilidades para la protección de los equipos de superficie.  
Colocar cadena y candado en la puerta de los equipos de superficie.
Colocar refuerzo (protección) en el variador y transformador.
Colocar refuerzos (protección) en los cables que van del variador a los transformadores
Colocar luminarias en el área de los equipos de superficie.
Presentar la denuncia con legal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;2024;MAR;30;SABADO;1:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHS 107;ÁREA DE EQUIPOS DE SUPERFICIE; 986.577,66 ; 9.987.739,25 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;147;PIES (FT.); $ 14.885.48 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;MANTENIMIENTO (MNT);INCIDENTES 14;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Realizar el arreglo de la abertura en la malla de las facilidades para la protección de los equipos de superficie.  
Colocar cadena y candado en la puerta de los equipos de superficie.
Colocar refuerzo (protección) en el variador y transformador.
Colocar refuerzos (protección) en los cables que van del variador a los transformadores
Colocar luminarias en el área de los equipos de superficie.
Presentar la denuncia con legal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-24 PAD-E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;2024;ABR;11;JUEVES;8:00 PM;NOCHE;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSR-049;ÁREA DE EQUIPOS DE SUPERFICIE; 985.603,78 ; 9.984.823,04 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;213;PIES (FT.); $14.807,19 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTES 16;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Realizar el arreglo de la abertura en la malla de las facilidades para la protección de los equipos de superficie.  
Colocar cadena y candado en la puerta de los equipos de superficie.
Colocar refuerzo (protección) en el variador y transformador.
Colocar refuerzos (protección) en los cables que van del variador a los transformadores
Colocar luminarias en el área de los equipos de superficie.
Presentar la denuncia con legal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;2024;ABR;12;VIERNES;11:00 PM;NOCHE;ZOCE;B57 - SHS;NORTE;B57 - SHS - SHS 66;ÁREA DE EQUIPOS DE SUPERFICIE; 985.568,18 ; 9.983.845,26 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;116;PIES (FT.); $3.381,69 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTES 17;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Realizar el arreglo de la abertura en la malla de las facilidades para la protección de los equipos de superficie.  
Colocar cadena y candado en la puerta de los equipos de superficie.
Colocar refuerzo (protección) en el variador y transformador.
Colocar refuerzos (protección) en los cables que van del variador a los transformadores
Colocar luminarias en el área de los equipos de superficie.
Presentar la denuncia con legal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;2024;ABR;18;JUEVES;1:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - SHS 70;ÁREA DE EQUIPOS DE SUPERFICIE; 316.525,59 ; 9.986.731,74 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;72;PIES (FT.); $2.212,56 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;MANTENIMIENTO (MNT);INCIDENTES 18;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Realizar el arreglo de la abertura en la malla de las facilidades para la protección de los equipos de superficie.  
Colocar cadena y candado en la puerta de los equipos de superficie.
Colocar refuerzo (protección) en el variador y transformador.
Colocar refuerzos (protección) en los cables que van del variador a los transformadores
Colocar luminarias en el área de los equipos de superficie.
Presentar la denuncia con legal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;2024;ABR;21;DOMINGO;4:00 AM;MADRUGADA;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - WELL PAD AGRA 03D;ÁREA DE EQUIPOS DE SUPERFICIE; 983.937,87 ; 9.991.509,41 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;111;PIES (FT.);$3.936,03 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;MANTENIMIENTO (MNT);INCIDENTES 20;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Realizar el arreglo de la abertura en la malla de las facilidades para la protección de los equipos de superficie.  
Colocar cadena y candado en la puerta de los equipos de superficie.
Colocar refuerzo (protección) en el variador y transformador.
Colocar refuerzos (protección) en los cables que van del variador a los transformadores
Colocar luminarias en el área de los equipos de superficie.
Presentar la denuncia con legal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;2024;ABR;21;DOMINGO;3:00 AM;MADRUGADA;ZOCE;B57 - SHS;CENTRO;B57 - SHS - SHS 81;ÁREA DE EQUIPOS DE SUPERFICIE; 984.066,44 ; 9.980.056,85 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;72;PIES (FT.); $27.612,95 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;MANTENIMIENTO (MNT);INCIDENTES 19;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;SI;SI;"Realizar el arreglo de la abertura en la malla de las facilidades para la protección de los equipos de superficie.  
Colocar cadena y candado en la puerta de los equipos de superficie.
Colocar refuerzo (protección) en el variador y transformador.
Colocar refuerzos (protección) en los cables que van del variador a los transformadores
Colocar luminarias en el área de los equipos de superficie.
Presentar la denuncia con legal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-29 PAD-F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;2024;MAY;3;VIERNES;4:00 AM;MADRUGADA;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - WELL PAD AGRA 03D;ÁREA DE EQUIPOS DE SUPERFICIE; 983.937,87 ; 9.991.509,41 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;197;PIES (FT.); $4.261,11 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTES 21;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Incrementar la colocación de luminarias en las áreas sensibles. (Internas y externas)
Realizar el completamiento de la barrera de protección perimetral en la plataforma.
Instalar una cámara de video seguridad y demás dispositivos de seguridad electrónica
Colocar candados en las puertas del área de los equipos de superficie y arreglar la malla cortada. 
Recuperar los equipos de superficie que están fuera de servicio.
Colocar refuerzos en los variadores.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;2024;MAY;21;MARTES;12:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSS-111;ÁREA DE EQUIPOS DE SUPERFICIE; 986.622,74 ; 9.987.792,70 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;78;PIES (FT.); $206.651,88 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTE 22;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;SI;SI;"Incrementar la colocación de luminarias en las áreas sensibles. (Internas y externas)
Realizar la implementación de la barrera de protección perimetral en la plataforma.
Colocar candados en las puertas del área de los equipos de superficie.
Arreglar tres roturas de malla de los equipos de superficie que está cortada. 
Recuperar los equipos de superficie que están fuera de servicio
Colocar refuerzos de protección en los variadores.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-31 PAD-H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;2024;MAY;25;SABADO;4:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - SHS 76;ÁREA DE EQUIPOS DE SUPERFICIE; 985.594,63 ; 9.988.720,46 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;;;;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);;;;ABIERTO;;NO;NO;NO;SI;SI;NO;SI;SI;Pendiente el informe por parte del área usuaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;2024;MAY;28;MARTES;9:00 PM;NOCHE;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSJ-146;ÁREA DE EQUIPOS DE SUPERFICIE; 317.467,66 ; 9.987.684,08 ; DELINCUENCIA COMUN ; DAÑO OPERATIVO ;AFECTACIÓN A LA OPERACIÓN;CABLES;65,62;PIES (FT.); $1.419,36 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTE 24;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Incrementar la colocación de luminarias en las áreas sensibles. (Internas y externas)
Realizar el completamiento de la barrera de protección perimetral en la plataforma.
Instalar una cámara de video seguridad y demás dispositivos de seguridad electrónica
Colocar candados en las puertas del área de los equipos de superficie y arreglar la malla cortada. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;2024;MAY;29;MIERCOLES;12:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - SHS 78;ÁAREA DEL VARIADOR MANIPULACIÓN DEL BREKE (ABAJADO); 316.933,39 ; 9.982.287,80 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;65,62;PIES (FT.); $43.335,36 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTE 24;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"ncrementar la colocación de luminarias en las áreas sensibles. (Internas y externas)
Realizar el completamiento de la barrera de protección perimetral en la plataforma.
Instalar una cámara de video seguridad y demás dispositivos de seguridad electrónica
Colocar candados en las puertas del área de los equipos de superficie y arreglar la malla cortada. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;2024;JUN;2;DOMINGO;2:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - SHS 86;ÁREA DE EQUIPOS DE SUPERFICIE; 984.656,79 ; 9.984.730,23 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;42,65;PIES (FT.); $1.311,48 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTE 25;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Colocar luminarias en las áreas sensibles.
Instalación de cámaras de video seguridad y sistema de detección de intrusos.
Colocar la barrera de protección perimetral en la plataforma.
Colocar refuerzos en el cable eléctrico del cabezal.
Encamisar los cables eléctricos Variador-transformador que se van a poner.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;2024;JUN;5;MIERCOLES;2:00 AM;MADRUGADA;ZOCE;B57 - SHS;CENTRO;B57 - SHS - SHSE 89;ÁREA DE EQUIPOS DE SUPERFICIE; 984.113,17 ; 9.977.248,19 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;39,37;PIES (FT.); $1.308,66 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTE 26;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Colocar luminarias en las áreas sensibles.
Instalación de cámaras de video seguridad y sistema de detección de intrusos.
Colocar la barrera de protección perimetral en la plataforma.
Colocar refuerzos en el cable eléctrico del cabezal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;2024;JUN;10;LUNES;12:00 AM;MADRUGADA;ZOCE;B57 - SHS;CENTRO;B57 - SHS - ESTACION 40;PLATAFORMA; 981.576,66 ; 9.980.768,14 ; DELINCUENCIA COMUN ; ASALTO ;PÉRDIDA ECONÓMICA;TRASFORMADOR;;;;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;MANTENIMIENTO (MNT);INCIDENTE 27;;;ABIERTO;;NO;SI;NO;NO;SI;NO;;SI;Pendiente el informe por parte del área usuaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;2024;JUN;10;LUNES;7:00 PM;NOCHE;ZOCE;B57 - SHS;CENTRO;B57 - SHS - WELL PAD SHSK 106;ÁREA DE EQUIPOS DE SUPERFICIE; 985.629,71 ; 9.974.677,31 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;39;PIES (FT.); $1.308,66 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTE 28;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"ncrementar la colocación de luminarias en las áreas sensibles. (Internas y externas)
Realizar el completamiento de la barrera de protección perimetral en la plataforma.
Instalar una cámara de video seguridad y demás dispositivos de seguridad electrónica
Colocar candados en las puertas del área de los equipos de superficie y arreglar la malla cortada. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;2024;JUN;13;JUEVES;11:00 AM;MAÑANA;ZOCE;B57 - SHS;CENTRO;B57 - SHS- DDV SOTE;DDV; 985.629,71 ; 9.974.677,31 ; DELINCUENCIA COMUN ; TOMAS CLANDESTINAS ;PÉRDIDA ECONÓMICA;CRUDO;;;;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTE 29;;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;Pendiente el informe por parte del área usuaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-39 PAD-J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;2024;JUN;15;SABADO;2:00 AM;MADRUGADA;ZOCE;B57 - SHS;CENTRO;B57 - SHS - WELL PAD SHSS-111;ÁREA DE EQUIPOS DE SUPERFICIE; 986.622,74 ; 9.987.792,70 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;78,4;PIES (FT.); $16.748,34 ;IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);INCIDENTE 30;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Incrementar la colocación de luminarias en las áreas sensibles. (Internas y externas)
Realizar la implementación de la barrera de protección perimetral en la plataforma.
Colocar candados en las puertas del área de los equipos de superficie.
Arreglar tres roturas de malla de los equipos de superficie que está cortada. 
Recuperar los equipos de superficie que están fuera de servicio
Colocar refuerzos faltantes en los variadores.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B56 - LGA - LGA-40 PAD-E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
